run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
94,0.1493001881551656,-0.03434563053106062,-0.012421008271926938,-0.0915402845614195,-0.06682045714603843,-0.0713763198193892,-0.054106637189827465,0.04825463229282217,0.0705717474268986,0.01,0.05,0.9916890158192844,0.3998206566786316,0.367960375462748
95,0.016110416375979878,-0.043337872919747576,-0.010582252003362493,0.12726266618971716,-0.14334254773848895,-0.07725201378580257,-0.05332830803111551,0.04600825737660515,0.06915492329250462,0.01,0.05,0.9283193246910338,0.4228599344328895,0.34699422941497676
96,0.06512154937278788,-0.04832107182931769,-0.027746843832009784,-0.26059322483132874,-0.058530524350799217,-0.07335581629170364,-0.05255846496537913,0.05077306233908394,0.06390224331603987,0.01,0.05,1.0000000000000002,0.3511461232410535,0.3028675536008806
97,0.06109220283866253,-0.029589911651239833,-0.02685607737964405,-0.5855434276148181,-0.011313140286700643,-0.05930877321478682,-0.042346138437512504,0.05160322767924602,0.06542827433485664,0.01,0.05,1.0,0.11953232019807461,0.1238532147080176
98,0.031428517485737384,0.010487611454317312,0.056407844982973035,-0.3532742658038819,0.009151766835520051,-0.07017340948680674,-0.04907570803715981,0.05044311556650667,0.07087732284914347,0.01,0.05,1.0,0.2788189609621899,0.25088691392072954
99,0.053821471914321656,0.04994715005615905,0.046306479498733365,-0.18957415567696057,0.09904427623194387,-0.06296369983061913,-0.04987995616865054,0.050544252704261265,0.07474122956425588,0.01,0.05,0.9999999999999999,0.17598195013548168,0.16452691942143877
100,0.04448816566202047,0.023354395676319802,0.004191117723553615,-0.19053730696322324,0.00811655064624154,-0.0778854661883762,-0.05677992414112,0.0472277382151591,0.07779827342985056,0.01,0.05,0.9088825387153524,0.44310187829200887,0.4402159222075857
101,0.0547725258925705,-0.05955521018042208,-0.04955934326511498,-0.1917713586765064,0.08077905822687442,-0.07473329659956486,-0.05687062959926932,0.051178048258729264,0.06897042332821499,0.01,0.05,0.9060642643286848,0.39817926544936816,0.3705858302769301
102,0.04135147065957635,-0.008405997566770226,-0.02383458667603554,-0.04767552626937821,0.31769859858868127,-0.06269531612051546,-0.04640086127455157,0.04912030842133671,0.07176673405837229,0.01,0.05,1.0000000000000002,0.3146161833402099,0.27173823733749775
103,-0.0696961260621586,0.03990557240244301,0.030907238450601802,-0.41912724006099955,0.0327803939784232,-0.06903804979190659,-0.051071937255433894,0.04928496880254319,0.06923703415307925,0.01,0.05,1.0000000000000002,0.30456480249310497,0.24823729381673104
104,-0.04007148654237967,-0.0024243133448279643,-0.008386795741771242,-0.41170764770245594,0.21055334691360167,-0.06227540986154842,-0.047437946640659666,0.05028729041315117,0.06979488382241487,0.01,0.05,0.991769139797272,0.3554599968847779,0.31882638396359203
105,0.015957862502797977,-0.03477015725066558,-0.03163901641133313,0.08799849672235505,0.13768025507402826,-0.06439423454594186,-0.05030122228902319,0.05097300188559727,0.07543548524050081,0.01,0.05,1.0000000000000002,0.11723631616759264,0.1181300675723343
106,0.004716906753637226,-0.05532187272587714,-0.049225439434003114,-0.1867988631507127,0.048621400142007144,-0.067045947676254,-0.04941915006399563,0.04900925908075886,0.06991494800278711,0.01,0.05,1.0,0.2587441359061691,0.2392900211415259
107,-0.03176388343241391,0.0552064671318189,0.06452238966112595,-0.36686447579874093,-0.020443893708157326,-0.06926349223990252,-0.05713706627014938,0.05113701043507398,0.06563333947795714,0.01,0.05,0.9584744662155478,0.42952700914833664,0.4080938589253969
108,0.028140141821774215,-0.0011943607014838653,0.011290537624541843,-0.5833359425072597,-0.1125816717092761,-0.06575539760235685,-0.051573566817604145,0.04671678726431069,0.05880039014648334,0.01,0.05,0.9999999999999999,0.21856912291149558,0.21046959735152057
109,0.04416578832869168,0.00852901557950477,-0.022843288697647724,-0.4738760735512404,-0.010540340656164845,-0.070112493664359,-0.05518075846745585,0.048766146034840585,0.06471375450107739,0.01,0.05,0.9781990833474983,0.34513835192180664,0.3249919260088905
